id	parent	val_bpb	pre_quant_bpb	quant_tax	artifact_mb	step_avg_ms	crashed	size_violation	status	description
0020_warmdown_300_warmup_30	canonical	2.22594746	2.2228	0.003147	13.711	2570.84	false	false	keep	WARMDOWN=300+WARMUP=30+batch=16k+mlp4; Δ=+0.029 vs 0015; clean (pre/post Δ match, normal quant_tax) [transfer:low]
0021_matrix_lr_06_on_winner	canonical	2.20995664	2.2087	0.001257	15.25	2559.46	false	false	keep	MATRIX_LR=0.06 (1.5x baseline) on 0020 winner; Δ=+0.016 vs 0020, clean. Artifact 15.25 MB (tight). [transfer:med]
0022_tied_embed_lr_075_on_winner	canonical	2.22164414	2.2205	0.001144	15.186	2488.20	false	false	discard	TIED_EMBED_LR=0.075 (1.5x); Δ=-0.012 (HURTS). Embedding LR more sensitive than matrix LR.
0023_tied_embed_init_std_02_on_winner	canonical	2.19846699	2.1969	0.001567	15.42	2461.66	false	false	keep	TIED_EMBED_INIT_STD=0.02 (4x baseline) on 0021 winner; Δ=+0.011 (just over noise floor); clean pre/post match [transfer:high]
0024_tied_embed_init_std_05_on_winner	canonical	2.17102542	2.1703	0.000725	15.592	2547.36	false	false	keep	TIED_EMBED_INIT_STD=0.05 (10x baseline); Δ=+0.027 vs 0023, clean. Init still paying. [transfer:high]
0025_tied_embed_init_std_1_on_winner	canonical	2.26673757	2.2658	0.000938	15.913	2454.23	false	false	discard	TIED_EMBED_INIT_STD=0.1 (20x baseline); Δ=-0.096 vs 0024 (overshoots). Init optimum is near 0.05.
0026_logit_softcap_15_on_winner	canonical	2.21480550	2.2128	0.002006	15.534	2454.63	false	false	discard	LOGIT_SOFTCAP=15 (vs default 30); Δ=-0.044 (HURTS). Tighter cap clips useful signal.
0027_warmdown_250_warmup_35	canonical	2.16212926	2.1605	0.001629	15.964	2450.56	false	false	discard	WARMDOWN=250+WARMUP=35 SEED=1337 Δ=+0.009; refuted by 0028 SEED=42 (Δ=+0.001). Mean Δ 0.005 — schedule plateau.
0028_warmdown_250_warmup_35_seed42	canonical	2.17008886	2.1696	0.000489	15.964	2462.94	false	false	discard	SEED=42 of 0027; Δ=+0.001 (noise). Disconfirms 0027 marginal gain. Schedule push axis done.
0029_muon_momentum_09	canonical	2.16772949	2.1658	0.001929	15.512	2453.08	false	false	discard	MUON_MOMENTUM=0.9 (vs 0.95); Δ=+0.003 (noise band).
0030_muon_momentum_085	canonical	2.16829174	2.1669	0.001392	15.438	2455.19	false	false	discard	MUON_MOMENTUM=0.85; Δ=+0.003 (noise). Same magnitude as 0029 — momentum not a meaningful axis here.
0031_scalar_lr_06_on_winner	canonical	2.18277135	2.1813	0.001471	15.582	2550.40	false	false	discard	SCALAR_LR=0.06 (1.5x); Δ=-0.012 (HURTS). Like TIED_EMBED_LR — small-param-count LRs are sensitive; only MATRIX_LR scales up.
0032_beta2_099_on_winner	canonical	2.16153893	2.1612	0.000339	15.587	2454.68	false	false	discard	BETA2=0.99 SEED=1337 Δ=+0.010; refuted by 0033 SEED=42 (Δ=-0.006). Cross-seed Δ 0.015 — freak.
0033_beta2_099_on_winner_seed42	canonical	2.17668594	2.1746	0.002086	15.59	2457.87	false	false	discard	SEED=42 of 0032; Δ=-0.006 vs 0024. Disconfirms BETA2=0.99 effect.
0034_beta1_095_on_winner	canonical	2.19509351	2.1937	0.001394	15.588	2454.45	false	false	discard	BETA1=0.95 (vs 0.9 default); Δ=-0.024 (HURTS). Adam beta1 default is correct.
0035_rope_base_20k_on_winner	canonical	2.16856078	2.1663	0.002261	15.595	2453.33	false	false	discard	ROPE_BASE=20000 (vs 10000 default); Δ=+0.0025 (noise). RoPE base not a meaningful axis at seq=1024.
0036_batch_24k_lr_045	canonical	2.12602891	2.1233	0.002729	14.619	3642.25	false	false	keep	batch=24k + MATRIX_LR=0.045 (down from 0.06) on 0024 winner; Δ=+0.045 vs 0024. Bigger batch at *lower* LR works — refutes 0018 batch-ceiling hypothesis. [transfer:high]
0037_batch_32k_lr_03	canonical	2.56784625	2.5664	0.001446	11.832	4855.28	false	false	discard	batch=32k+LR=0.03 still collapses (Δ=-0.442). Lower LR didn't save 32k. batch=32k specifically is too big.
0038_grad_clip_1_on_winner	canonical	2.12336631	2.1208	0.002566	14.412	3680.62	false	false	discard	GRAD_CLIP_NORM=1.0 (vs 0=disabled); Δ=+0.003 vs 0036 (noise). Not a meaningful axis.
0039_init_07_on_24k_winner	canonical	2.18360348	2.1810	0.002603	14.819	3645.53	false	false	discard	TIED_EMBED_INIT_STD=0.07 on 24k winner; Δ=-0.058 (HURTS). Init optimum stays near 0.05 even on new batch=24k regime.
0040_init_04_on_24k_winner	canonical	2.12769478	2.1235	0.004195	14.478	3643.37	false	false	discard	TIED_EMBED_INIT_STD=0.04 on 24k winner; Δ=-0.002 (noise). Init=0.05 confirmed as optimum on new regime too.
0041_ortho_init_on_winner	canonical	2.14813002	2.1450	0.00313	14.73	3638.06	false	false	discard	ORTHO_INIT=1 (code change: orthogonal init for non-zero-init Linear); Δ=-0.022 vs 0036 (HURTS). Default kaiming + Muon + ReLU² better here.
0042_matrix_lr_05_24k_winner	canonical	2.11792500	2.1158	0.002125	14.986	3645.81	false	false	discard	MATRIX_LR=0.05 SEED=1337 Δ=+0.008; refuted by 0043 SEED=42 (Δ=+0.0001). Mean Δ +0.004 — sub-noise. LR=0.045 was at optimum.
0043_matrix_lr_05_24k_seed42	canonical	2.12596808	2.1250	0.000968	15.002	3641.11	false	false	discard	SEED=42 of 0042; cross-seed Δ 0.008 — disconfirms MATRIX_LR=0.05. LR=0.045 at batch=24k is optimum.
0044_swiglu_mlp_3	canonical	2.11489235	2.1122	0.002692	16.46	3721.05	false	true	parked	SwiGLU(mlp=3) Δ=+0.011 vs 0036 (real gain) BUT artifact 16.46 MB > 16 MB cap = INVALID. Try SwiGLU(mlp=2) for cap-fit variant. [transfer:high if it fits]
0045_swiglu_mlp_2	0044_swiglu_mlp_3	2.12347196	2.1202	0.003272	12.665	3437.18	false	false	discard	SwiGLU(mlp=2) Δ=+0.003 vs 0036 (noise). Per-param more efficient (12.7 MB artifact) but no net gain.
0046_swiglu_mlp_3_lr_035	0044_swiglu_mlp_3	2.14453942	2.1428	0.001739	15.716	3722.44	false	false	discard	SwiGLU(mlp=3)+LR=0.035; artifact 15.72 MB (fits cap) but Δ=-0.019 vs 0036. Lowering LR to fit cap also lost the SwiGLU gain.
0047_batch_24k_lr_045_seed42	canonical	2.14044750	2.1378	0.002648	14.626	3639.38	false	false	keep	SEED=42 of 0036; cross-seed Δ 0.014 (high variance vs typical 0.0024). Mean Δ vs 0024 = +0.038 — confirmed real win, smaller than single-seed claim.
0048_leaky_relu2_mlp4	canonical	2.12490477	2.1225	0.002405	14.619	3642.79	false	false	discard	LeakyReLU²(slope=0.1) vs ReLU² on 0036; Δ=+0.001 (noise). Activation choice is not a meaningful axis here.
0049_muon_backend_steps_10	canonical	2.12284712	2.1211	0.001747	15.223	3739.21	false	false	keep	MUON_BACKEND_STEPS=10 (vs 5); confirmed by 0050 SEED=42. Same-seed Δ avg +0.0066 vs 0036/0047 (judgment-zone advance). Better Newton-Schulz orthogonalization. [transfer:med]
0050_muon_backend_steps_10_seed42	canonical	2.13046695	2.1282	0.002267	15.252	3735.90	false	false	keep	SEED=42 confirms 0049. Same-seed Δ +0.010 vs 0047. Mean Δ +0.0066 vs 0036/0047 mean. [transfer:med]
0051_muon_backend_steps_15	canonical	2.10971211	2.1084	0.001312	15.18	3836.02	false	false	keep	MUON_BACKEND_STEPS=15 (vs 10); Δ=+0.013 vs 0049 (direct promote). Newton-Schulz keeps improving with more iterations. [transfer:med]
0052_muon_backend_steps_20	canonical	2.11804372	2.1162	0.001844	15.245	3940.53	false	false	discard	MUON_BACKEND_STEPS=20; Δ=-0.008 vs 0051 (15 steps). Orthogonalization saturates between 15 and 20. 0051 is near optimum.
0053_muon_backend_steps_12	canonical	2.11943984	2.1171	0.00234	15.24	3775.97	false	false	discard	MUON_BACKEND_STEPS=12; Δ=-0.010 vs 0051 (15). Confirms 15 as optimum (5/10/12/15/20 sweep complete).
0054_matrix_lr_04_muon_15	canonical	2.12467781	2.1226	0.002078	14.812	3891.02	false	false	discard	MATRIX_LR=0.04 + MUON=15; Δ=-0.015 vs 0051. LR=0.045 stays optimal.
0055_parallel_resid_baseline	0051_muon_backend_steps_15	2.14780135	2.1447	0.003101	15.182	4126.39	false	false	discard	Parallel residuals (attn+mlp from same input) on 0051 winner; Δ=-0.038 (clear loss). Inter-block sequential dependency does real work at d=512/200steps.
0056_depth_recur_3x3	0051_muon_backend_steps_15	2.12272582	2.1217	0.001026	5.371	3637.99	false	false	parked	K=3 unique blocks looped L=3 (eff depth 9, no U-Net skip); Δ=-0.013 vs 0051 (sub-noise). Artifact 5.37 MB frees 10.6 MB cap. Quant_tax 0.001 low but pre/post Δ match (real). [transfer:med]
0057_swiglu_recur_3x3	0056_depth_recur_3x3	2.10275295	2.1004	0.002353	5.998	3721.11	false	false	keep	K=3 L=3 + SwiGLU(mlp=3): NEW BEST val 2.1028, Δ=+0.007 vs 0051 (judgment-call zone). SwiGLU gain compounds with recurrence. Artifact 6 MB — 10 MB cap headroom. SEED=42 confirm pending. [transfer:med]
0058_swiglu_recur_3x3_seed42	0057_swiglu_recur_3x3	2.10578946	2.1037	0.002089	5.998	3780.56	false	false	keep	SEED=42 confirms 0057. Cross-seed Δ 0.003 (typical baseline). Mean Δ vs 0051 = +0.0055 (just over noise floor, both seeds positive). 0057 promotable. [transfer:med]
0060_per_loop_scales	0057_swiglu_recur_3x3	2.10411537	2.1017	0.002415	6.044	3896.72	false	false	discard	Per-loop scalars (UT-style, K=3 L=3 each block has L=3 attn/mlp/resid_mix copies); Δ vs 0057 single-seed -0.001, vs 0057 mean +0.0002 — neutral. Loop specialization needs >200 steps. Informative null. [transfer:med]
0061_smear_gate_on_winner	0057_swiglu_recur_3x3	2.13022048	2.1284	0.00182	6.088	3944.91	false	false	discard	Smear-gate (per-channel sigmoid mix with prev-token, init -2.0) on 0057 stack; Δ=-0.027 vs 0057 (clear loss, real). Conflicts with attention's natural lookback at d=512 + recurrence. [transfer:low]
0059_swiglu_recur_3x3_mlp4	0057_swiglu_recur_3x3	2.09706106	2.0958	0.001261	7.277	4206.07	false	false	keep	K=3 L=3 + SwiGLU(mlp=4): NEW BEST val 2.0971, Δ=+0.0057 vs 0057 SEED=1337 (judgment-call) / +0.0072 vs 0057 mean (above noise). Wider MLP inside recurrence pays. Artifact 7.28 MB. SEED=42 pending. [transfer:high]
0062_swiglu_recur_3x3_mlp8	0057_swiglu_recur_3x3	2.08686717	2.0844	0.002467	12.242	5395.78	false	false	keep	K=3 L=3 + SwiGLU(mlp=8): NEW BEST val 2.0869, Δ=+0.0102 vs 0059 (direct-promote zone, +0.017 vs 0057 mean). Width curve mlp=3→4→8 monotonic. Artifact 12.24 MB. SEED=42 confirm needed within 5 exps. [transfer:high]
0063_swiglu_recur_3x3_mlp11	0062_swiglu_recur_3x3_mlp8	2.07993506	2.0773	0.002635	15.851	6368.15	false	false	keep	K=3 L=3 + SwiGLU(mlp=11): val 2.0799, Δ=+0.007 vs 0062 (judgment-call zone). Cap-edge artifact 15.85 MB. NOT PROMOTED — pending SEED=42 + SEED=42 of 0062 first. [transfer:high]
0001_regression_check_001	canonical	2.52115777	2.5157	0.005458	6.907	1189.87	false	false	sentinel	Worktree harness verified: drift +0.00004 vs 0001_baseline_repro 2.5212 anchor (well within ±0.005). 6.907 MB matches.
0002_s4d_lin_v1	canonical	2.23393578	2.2325	0.001436	10.046	2826.76	false	false	keep	S4D-Lin all-9-layers (LTI diag, FFT-conv, N=16, S4D-Lin init); val 2.234, beats naive 2.521 by 0.288. NOT promoted — SSM noise floor uncharacterized; sentinel pending. [transfer:high if confirmed]
0003_s4d_sentinel_seed42	0002_s4d_lin_v1	2.22747200	2.2259	0.001572	10.056	2711.97	false	false	sentinel	S4D-Lin noise floor seed 42 (1 of 3); Δ vs 0002 SEED=1337 = -0.00646
0004_s4d_sentinel_seed2024	0002_s4d_lin_v1	2.22749060	2.2265	0.000991	10.054	2656.91	false	false	sentinel	S4D-Lin noise floor seed 2024 (2 of 3); Δ vs 0003 SEED=42 = +0.00002 (suspiciously tight)
0005_s4d_sentinel_seed31337	0002_s4d_lin_v1	2.22878999	2.2270	0.00179	10.06	2665.56	false	false	sentinel	S4D-Lin noise floor seed 31337 (3 of 3); 4-seed σ=0.0031, mean=2.2294, advance 3σ=0.009
0006_s4d_recur3x3_swiglu_mlp8	0002_s4d_lin_v1	2.17141459	2.1687	0.002715	12.271	4442.83	false	false	keep	K=3 L=3 + SwiGLU(mlp=8) on S4D-Lin: NEW SSM-BEST val 2.171, Δ=-0.058 vs 0002 mean (~18σ, direct-promote zone but >+0.050 — SEED=42 confirm pending). Both transformer wins transfer to SSM. [transfer:high]
0007_hybrid_1attn_mid_8s4d	0002_s4d_lin_v1	2.22201475	2.2202	0.001815	10.074	2750.18	false	false	keep	1 attn at layer 4 + 8 S4D-Lin: val 2.222, Δ=+0.007 vs 0002 mean (judgment zone). Recall gap weak at our regime — refutes literal Zoology 82%. SEED=42 marginal-confirm before building. [transfer:med]
0008_recur3x3_swiglu_mlp8_seed42	0006_s4d_recur3x3_swiglu_mlp8	2.15473000	2.1527	0.00203	12.272	4441.31	false	false	keep	SEED=42 of 0006 confirms (and exceeds): val 2.155, vs 0006 1337 2.171 (cross-seed Δ 0.017, wider than pure-S4D σ=0.003). 0006/0008 mean 2.163. Depth-recur+SwiGLU+S4D family. [transfer:high]
0009_recur3x3_swiglu_with_attn	0006_s4d_recur3x3_swiglu_mlp8	2.09947891	2.0967	0.002779	12.219	4666.49	false	false	keep	K=3 L=3 (1 of 3 unique = attn, ratio 1:2 over 9-effective): val 2.099, Δ=-0.064 vs 0006/0008 mean. WITHIN 0.012 of transformer-best 2.087! Single seed — SEED=42 critical. [transfer:high if confirmed]
0011_recur3x3_swiglu_attn_seed42	0009_recur3x3_swiglu_with_attn	2.09663304	2.0943	0.002333	12.226	4663.79	false	false	keep	SEED=42 CONFIRMS 0009: val 2.097, vs 0009 SEED=1337 2.099 (cross-seed Δ 0.003 — tight!). Mean 2.098 ties transformer-best 2.087 within recur-family floor. [transfer:high]
0012_recur3x3_swiglu_2attn_1s4d	0009_recur3x3_swiglu_with_attn	2.08700147	2.0839	0.003101	12.276	4897.45	false	false	keep	2:1 ratio (2 of 3 unique blocks attn) on K=3 L=3 + SwiGLU mlp=8: val 2.08700 — TIES transformer-best 2.08687 to 4 decimals! Δ=-0.011 vs 0009/0011 mean (judgment-zone). SEED=42 confirm needed. [transfer:high if confirmed]
0014_recur3x3_swiglu_2attn_seed42	0012_recur3x3_swiglu_2attn_1s4d	2.08891431	2.0867	0.002214	12.271	4899.40	false	false	keep	SEED=42 confirms 0012: val 2.0889, vs 0012 SEED=1337 2.0870 (Δ 0.002, tight). Mean 2.0880 vs transformer-best 2.0869 = +0.0011 → STATISTICALLY TIED. [transfer:high]
0013_recur3x3_swiglu_attn_n32	0009_recur3x3_swiglu_with_attn	2.09671487	2.0932	0.003515	12.457	5252.90	false	false	discard	D_STATE=32 (vs 16) on 0009 base (1:2 ratio); val 2.0967 vs 0009/0011 mean 2.0981 = Δ -0.001 (noise). Larger SSM state not a meaningful axis at our regime. [transfer:none]
0016_recur3x3_swiglu_2attn_pos12	0012_recur3x3_swiglu_2attn_1s4d	2.09762212	2.0955	0.002122	12.219	4894.06	false	false	keep	2:1 ratio with positions 1,2 (cluster) vs 0012's 0,2 (sandwich): val 2.0976 = Δ +0.0097 vs 0012/0014 mean (advance-threshold-edge). Position MATTERS — interleaving beats clustering. [transfer:high]
0017_recur3x3_swiglu_2attn_pos12_seed42	0016_recur3x3_swiglu_2attn_pos12	2.09201264	2.0900	0.002013	12.22	4895.05	false	false	keep	SEED=42 of 0016 confirms position effect: val 2.0920, cross-seed Δ 0.006. Mean 0016/0017 = 2.0948 (cluster) vs 0012/0014 mean 2.0880 (sandwich). Δ +0.007 — judgment-zone, real but small. [transfer:high]
0018_recur3x3_swiglu_2attn_bigramhash	0012_recur3x3_swiglu_2attn_1s4d	2.08313304	2.0807	0.002433	12.266	4900.73	false	false	keep	BigramHash(4096,64) bolt-on 2:1 hybrid: val 2.0831 — BEATS transformer-best 2.0869 by 0.0037 (single seed). Δ -0.005 vs 0012/0014 mean (judgment). [transfer:high if confirmed]
0019_recur3x3_swiglu_2attn_bigramhash_seed42	0018_recur3x3_swiglu_2attn_bigramhash	2.08147363	2.0801	0.001374	12.274	4898.26	false	false	keep	SEED=42 of 0018 CONFIRMS BigramHash win: val 2.0815, vs 0018 SEED=1337 2.0831 (Δ 0.0017, tight). Mean 2.0823 BEATS transformer-best 2.0869 by 0.0046 BPB. [transfer:high]
0020_recur3x3_swiglu_2attn_bigramhash_seed2024	0018_recur3x3_swiglu_2attn_bigramhash	2.08152116	2.0806	0.000921	12.263	4910.37	false	false	keep	3rd seed BigramHash sentinel: val 2.0815 (essentially identical to 0019). 3-seed mean 2.08204, σ ≈ 0.001 (very tight). Vs transformer-best 2.0869 = -0.00483 (~5σ). Promote-ready. [transfer:high]
0021_recur3x3_swiglu_2attn_bigramhash_v8192	0018_recur3x3_swiglu_2attn_bigramhash	2.08646213	2.0851	0.001362	12.271	4907.08	false	false	discard	BIGRAM_VOCAB=8192 (vs 4096 in 0018): val 2.0865, Δ=+0.004 vs 0018-family mean 2.082 — HURTS. Doubling buckets dilutes per-bucket signal at 200 steps. 4096 is at/above optimum.
0022_recur3x3_swiglu_2attn_bigramhash_d128	0018_recur3x3_swiglu_2attn_bigramhash	2.08768297	2.0860	0.001683	12.285	4907.90	false	false	discard	BIGRAM_DIM=128 (vs 64 in 0018): val 2.0877, Δ=+0.006 vs 0018-family mean — HURTS. Like VOCAB=8192 (0021), more capacity dilutes per-bucket signal at 200 steps. (4096,64) is the joint optimum.
0023_regression_check_002	canonical	2.51977828	2.5162	0.003578	6.905	1133.84	false	false	sentinel	Final session sentinel: val 2.5198 vs anchor 2.5212 = Δ -0.0014 (within ±0.005). Harness verified bit-stable across 22 SSM experiments + .venv-symlink + run_experiment.sh edit. Session results stand.
0024_recur3x3_swiglu_2attn_bigramhash_seed31337	0018_recur3x3_swiglu_2attn_bigramhash	2.08945514	2.0870	0.002455	12.263	5098.73	false	false	keep	4th seed (SEED=31337) of BigramHash family: val 2.0895 — OUTSIDE predicted [2.078, 2.087]. 4-seed mean 2.0839, σ=0.0038 (was 0.001 at 3 seeds). Δ vs transformer-best 2.0869 = -0.0030, ~1.6σ at 4-seed-mean precision. Headline still real but σ-multiple weakened. [transfer:high]
0025_hymba_strict_parallel	0018_recur3x3_swiglu_2attn_bigramhash	2.09128496	2.0900	0.001285	13.703	7098.61	false	false	keep	Hymba-strict parallel topology (K=3 unique, every block runs ATTN+S4D in parallel, looped ×3): val 2.0913 vs 0024 BigramHash 4-seed mean 2.0839 = Δ +0.0074 (~2σ at family floor σ=0.0038, single-seed precision). 39% slower step time (7.1 vs 5.1s). Sandwich beats parallel at our regime. SEED=42 confirm pending. [transfer:med]
0026_hymba_strict_parallel_seed42	0025_hymba_strict_parallel	2.08917311	2.0882	0.000973	13.703	7044.37	false	false	keep	SEED=42 of 0025 (Hymba-strict parallel): val 2.0892, cross-seed Δ vs 0025 = 0.0021 (tight). 2-seed mean 2.0902 vs 0024 BigramHash 4-seed mean 2.0839 = Δ +0.0064 (~1.9σ). Hymba-strict topology weakly loses to sandwich AND is 39% slower step time. Topology axis closed: sandwich wins. [transfer:med]
0027_hymba_middle_parallel	0025_hymba_strict_parallel	2.07786199	2.0737	0.004162	12.747	5916.64	false	false	keep	Middle-parallel topology (A-PARALLEL-A: attn+s4d in parallel at position 1, attn at 0,2) single-seed val 2.0779 — BEATS 0024 BigramHash 4-seed mean 2.0839 by 0.0060 (~1.6σ at family floor). On the disconfirming threshold (val < 2.078). NEW BEST candidate. SEED=42 confirm critical. Quant tax 0.004 (slightly elevated). Step time 5.92s. Artifact 12.75 MB. [transfer:high if confirmed]
0028_mamba1_selective_smoke	0018_recur3x3_swiglu_2attn_bigramhash	null	null	null	null	null	true	false	discard	Mamba-1 selective-scan too slow on MPS without CUDA kernels: 7+ min without step 1 (vs ~5s for S4D-Lin). Killed. Sequential for-loop over L=1024 with per-iter MPS kernel launches dominates. Numerical correctness verified (oracle match in scratch_verify.py). Family characterization: pure-PyTorch Mamba-1 is INFEASIBLE on MPS; needs Triton/CUDA kernel OR chunkwise reformulation (Mamba-2/SSD).
0031_hyena_smoke	0018_recur3x3_swiglu_2attn_bigramhash	2.23908566	2.2382	0.000886	12.815	4751.34	false	false	keep	Hyena (learnable kernel via 2-layer MLP of position) at position 1 of sandwich: val 2.2391 vs 0018 4-seed mean 2.0839 = Δ +0.155 (substantial loss). Step time 4.75s (faster compute, worse training). Family characterization: at 200-step regime, structured S4D-Lin init beats random-init MLP-of-position kernel by ~0.15 BPB. [transfer:low]
0032_mamba2_ssd_smoke	0018_recur3x3_swiglu_2attn_bigramhash	2.05903992	2.0570	0.00204	12.759	5588.79	false	false	keep	Mamba-2/SSD chunkwise selective at position 1 of sandwich: val 2.0590 — NEW SSM-BEST. Δ vs 0024 4-seed mean 2.0839 = -0.0249 (~6.5σ at single-seed precision, family floor σ=0.0038). Δ vs transformer-best 2.0869 = -0.0279. Step time 5.59s. Artifact 12.76 MB. Numerical oracle verified (1.9e-6 vs sequential ref). SEED=42 confirm next. [transfer:high]
0034_mamba2_ssd_seed42	0032_mamba2_ssd_smoke	2.06127400	2.0578	0.003474	12.766	5562.22	false	false	keep	SEED=42 of 0032 Mamba-2/SSD: val 2.0613, cross-seed Δ vs 0032 = 0.0022 (tight). 2-seed mean 2.0602. Δ vs 0024 4-seed BigramHash mean 2.0839 = -0.0237 (~7.2σ at joint precision). PROMOTED. [transfer:high]
0035_mamba2_2of3	0032_mamba2_ssd_smoke	2.03994138	2.0375	0.002441	13.272	5649.29	false	false	keep	Mamba-2 at 2 of 3 unique blocks (positions 0,1; ATTN at 2): val 2.0399 single-seed — NEW SSM-BEST. Δ vs 0032/0034 mean (2.0602) = -0.0203 (~5.3σ at family floor). Δ vs transformer-best 2.0869 = -0.047. Compound win: each added Mamba-2 position adds ~0.02 BPB. Step time 5.65s (negligible cost). SEED=42 confirm next. [transfer:high]
0036_mamba2_2of3_seed42	0035_mamba2_2of3	2.04348642	2.0411	0.002386	13.291	5742.95	false	false	keep	SEED=42 of 0035 (Mamba-2 at 2 of 3 positions): val 2.0435, cross-seed Δ vs 0035 = 0.0036 (tight). 2-seed mean 2.0417. Δ vs 0032/0034 prior promote (2.0602) = -0.0185 (~5.3σ). PROMOTED, supersedes 0032/0034 winner. [transfer:high]
0038_mamba2_kill_selectivity	0035_mamba2_2of3	2.02590099	2.0240	0.001901	13.252	5828.54	false	false	keep	Selectivity-killed Mamba-2 (LTI dt/B/C → learned constants, +128 params): val 2.0259 single-seed — NEW SSM-BEST. Δ vs 0035 (full Mamba-2 2-of-3, val 2.0399) = -0.014 (HEADLINE PIVOT: killing selectivity HELPS at 200-step regime). FFT-conv duality verified pre-launch. Mechanism story flips: win is from Mamba-2 BLOCK structure (conv1d+gating+SSD-chunkwise), NOT selectivity. SEED=42 confirm next. [transfer:medium — selectivity may help at H100 20k-step where extra params get trained]
0039_kill_selectivity_seed42	0038_mamba2_kill_selectivity	2.02856678	2.0267	0.001867	13.263	5814.11	false	false	keep	SEED=42 confirm of 0038 LTI-Mamba-2 kill-selectivity: val 2.0286, cross-seed Δ vs 0038 = +0.0027 (tight). 2-seed mean 2.02723. Δ vs full Mamba-2 (0035/0036 mean 2.04171) = -0.01448 BPB ROBUST AT 2-SEED. Kill-wins finding confirmed; mechanism story (Mamba-2 BLOCK structure, not selectivity) verified across seeds. PROMOTED supersedes 0035/0036. [transfer:medium]
